,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat,Confounds Removed,AlexNet,AlexNet_Places365,GoogLeNet,GRCNN55,ResNet101,ResNet152,ResNet18,ResNet18_Places365,ResNet50,ResNet50_Places365,Resnext50_32x4d,Vgg16,Vgg19
10,AlexNet,10.0,1.168411673821549,0.0002950150426804,2.4387443544388533e-05,0.0438848003694182,2.1203155953552706,2.014949890736704e-46,1.1607181516575776e-63,0.0518422027901374,7.307706811529763e-15,True,,,,,,,,,,,,,
11,AlexNet,11.0,1.2109059448260926,0.0003250764619699,2.789374193339602e-05,0.0553803482445233,2.3771127804633623,9.862299894516552e-48,2.168750976351836e-70,0.0619863086703661,4.717048822819273e-16,True,,,,,,,,,,,,,
12,AlexNet,12.0,1.2247926598874128,0.0003338657499137,3.288404182616437e-05,0.0591520939941487,2.534131597829147,2.523001630587243e-47,4.3435140464510814e-70,0.0696488717713877,7.190473325265928e-16,True,,,,,,,,,,,,,
0,AlexNet_Places365,0.0,0.999999967883564,0.9967184595938046,0.9971368363512252,7.726045220043264e-06,1.0000034980587729,0.4252043734629438,0.4241919659949755,4.358544247260488e-06,0.474405237991654,True,,,,,,,,,,,,,
1,AlexNet_Places365,1.0,1.028073559828125,0.0005424807090774,0.0001883664256269,0.0076877861298664,1.0814154911989664,3.95078386601297e-31,3.6052001841557157e-34,0.0053902730409826,1.6009351312014952e-06,True,,,,,,,,,,,,,
2,AlexNet_Places365,2.0,1.0276511479558414,0.0006193165956441,0.0002204774613892,0.0076583738932376,1.080786314806088,5.159738881368853e-31,4.679144844524356e-34,0.0053650214039829,1.4054888109031944e-06,True,,,,,,,,,,,,,
3,AlexNet_Places365,3.0,1.0276511479558414,0.0006193165956441,0.0002204774613892,0.0076583738932376,1.080786314806088,5.159738881368853e-31,4.679144844524356e-34,0.0053650214039829,1.4054888109031944e-06,True,,,,,,,,,,,,,
4,AlexNet_Places365,4.0,1.012805339832968,0.0005142645636272,0.0003399425509554,0.0034908860670393,1.0529030242566195,3.1314778179981466e-45,3.4832774578746006e-46,0.0025112254037434,1.761480049555741e-12,True,,,,,,,,,,,,,
5,AlexNet_Places365,5.0,1.012802523703805,0.0005149610043967,0.0003404367486981,0.0034905159260713,1.0528982189473906,3.132822263665489e-45,3.4816334002487903e-46,0.0025110073706453,1.7491881102920145e-12,True,,,,,,,,,,,,,
6,AlexNet_Places365,6.0,1.012802523703805,0.0005149610043967,0.0003404367486981,0.0034905159260713,1.0528982189473906,3.132822263665489e-45,3.4816334002487903e-46,0.0025110073706453,1.7491881102920145e-12,True,,,,,,,,,,,,,
7,AlexNet_Places365,7.0,1.0171500259724828,0.0010158168927069,0.0005916931322325,0.0049646199422851,1.082550304478303,1.0659384305092516e-53,1.294468172979501e-54,0.0032887781491221,2.132143539620224e-15,True,,,,,,,,,,,,,
8,AlexNet_Places365,8.0,1.019472603521853,0.0007343746871847,0.0004209448397777,0.0054740405212805,1.0941857843475191,2.3813189032944e-53,1.8211186585301974e-54,0.0037786281314506,1.0950335705329305e-15,True,,,,,,,,,,,,,
9,AlexNet_Places365,9.0,1.0980574183399987,0.0015607588958661,0.0003140315772028,0.029575556533196,1.650316578575502,3.096214512926973e-45,7.152753776331466e-59,0.0308662651992664,2.6120933131656645e-13,True,,,,,,,,,,,,,
10,AlexNet_Places365,10.0,1.0972214109106768,0.0023080148051507,0.0004550595596609,0.0305172452756545,1.6767475187542575,1.5033730322816066e-44,1.271190901557883e-58,0.0326000654153188,2.894361429652804e-13,True,,,,,,,,,,,,,
11,AlexNet_Places365,11.0,1.133474953128895,2.013636916735541e-05,5.002377008002625e-06,0.0289761639990505,1.6718111226126202,1.2187100028603464e-47,2.827597656192861e-63,0.0302978370890509,4.7884239691666654e-14,True,,,,,,,,,,,,,
12,AlexNet_Places365,12.0,1.138439493881474,2.0635256597456e-05,5.298622962759031e-06,0.0300977810677529,1.7083822577848224,6.659605380255896e-48,5.455320988105739e-62,0.0317717326489064,1.3412090633133987e-14,True,,,,,,,,,,,,,
