,Layer1inVals,Layer1inOutRatios,Layer2inVals,Layer2inOutRatios,Layer3inVals,Layer3inOutRatios,Layer4inVals,Layer4inOutRatios,Layer5inVals,Layer5inOutRatios,Layer6inVals,Layer6inOutRatios,Layer7inVals,Layer7inOutRatios,Layer8inVals,Layer8inOutRatios,Layer9inVals,Layer9inOutRatios,Layer10inVals,Layer10inOutRatios,Layer11inVals,Layer11inOutRatios,Layer12inVals,Layer12inOutRatios,Layer13inVals,Layer13inOutRatios
77,1.0,1.0000095331866181,0.8312746004244961,1.0491349867584157,0.8321137680532467,1.0489387255953504,0.8321137680532467,1.0489387255953504,0.9070975894584425,1.050405561864752,0.9070935767585157,1.0503936707644927,0.9070935767585157,1.0503936707644927,0.8628054880720757,1.070285475729843,0.844569653214808,1.0807608514607554,0.6096177458386091,1.5966437937680427,0.6032350323321255,1.6249883970615515,0.6107764118377659,1.590856673233933,0.5864584918878375,1.6168156330814865
78,1.0,1.000009397770763,0.942326320599132,1.1160983975001877,0.9422619171316317,1.1151534587574348,0.9422619171316317,1.1151534587574348,0.9480900490788681,1.0682396709472997,0.9480879212886357,1.0682272972450644,0.9480879212886357,1.0682272972450644,0.9239312500376343,1.1067914037119329,0.9149921853658697,1.1220550489246777,0.6794207352046854,1.8932802470414558,0.6736168909078252,1.9195500150835085,0.7215222186635832,2.173038677721969,0.7190076605365258,2.311610163949567
79,1.0,1.000009397770763,0.9232897138514226,1.1054374434203238,0.9234123755852846,1.104805534788509,0.9234123755852846,1.104805534788509,0.9413010384275985,1.0624206017102706,0.9412982413822479,1.0624100242092156,0.9412982413822479,1.0624100242092156,0.9209770457855587,1.0960909510448014,0.9107050686313556,1.1098060315647769,0.5968706020631211,1.531564546504393,0.5883669444830562,1.5489075811447777,0.5883256453543784,1.525358544076869,0.5822142569841706,1.5630782655222148
80,1.0,1.000009397770763,0.8600446213633134,1.073724191552755,0.8614731483088558,1.0714524250081434,0.8614731483088558,1.0714524250081434,0.88053484285388,1.0257015645588337,0.8805268951943157,1.025635343208769,0.8805268951943157,1.025635343208769,0.8381740931648972,1.0556414790580764,0.8143565915576895,1.0610854959828802,0.5693619783055034,1.4697400439955992,0.5475227610580392,1.4684743409199825,0.5719356628287231,1.3804668104529763,0.5537718568321518,1.3986121137061875
81,1.0,1.000009397770763,0.8330697493397464,1.0297118449192602,0.833140900442959,1.0290524361986093,0.833140900442959,1.0290524361986093,0.8720242230714568,1.0171556050556352,0.8720186633348191,1.0171487576759914,0.8720186633348191,1.0171487576759914,0.8119333375912934,1.022039638726962,0.7891462556498592,1.02503996221242,0.5084833591407812,1.3053947861832396,0.4989412059904538,1.3198633752508158,0.5008549504843911,1.2743122300055223,0.4726857470075629,1.2816416321404662
82,1.0,1.000009397770763,0.8170088874961831,1.1510461418368982,0.8170477558232452,1.1499274055367366,0.8170477558232452,1.1499274055367366,0.8720882316826936,1.0603303790568983,0.8720823859709912,1.0603180510056605,0.8720823859709912,1.0603180510056605,0.788778148396513,1.0545539893575708,0.770092371408096,1.064252420312738,0.45631785484071613,1.3881385510675641,0.4533380665648168,1.4132738210601168,0.4993548315332637,1.4094370507869087,0.47587093322434554,1.4162256054410893
83,1.0,1.000009397770763,0.8558245327114193,1.1075319415113878,0.8560730592878982,1.1070072130739053,0.8560730592878982,1.1070072130739053,0.8975243201982799,1.0349302575466572,0.8975199378326681,1.0349169157648896,0.8975199378326681,1.0349169157648896,0.8695269082504637,1.066441299038496,0.8490182540093889,1.0724108520871907,0.5075677796876675,1.4688601762892768,0.49051747196300566,1.4712037584999027,0.4710509551340575,1.363824570017536,0.45075706547089334,1.3700195146903795
84,1.0,1.000009397770763,0.6940279556333715,0.9982212575526836,0.6918503534029423,0.9954847781547572,0.6918503534029423,0.9954847781547572,0.8346594815884437,1.0473907880334088,0.8348052975195405,1.0474915601793924,0.8348052975195405,1.0474915601793924,0.8242625264376621,1.1213212194029731,0.8072106538842675,1.143498374541272,0.5936221690227764,2.1394512152510075,0.5565020253970772,2.1613508041032996,0.688058135075073,2.180072478218928,0.6677321309247315,2.324786121908097
85,1.0,1.0000094649943658,0.8753836918257273,1.1181611073558544,0.8745505720290433,1.1164362375009744,0.8745505720290433,1.1164362375009744,0.9173109980352978,1.0704928215572658,0.9174006826465888,1.0705557969016124,0.9174006826465888,1.0705557969016124,0.8759957370722404,1.0802181709147225,0.856159475833835,1.0905369157925433,0.5838877579659483,1.5844246109200493,0.5706056075486406,1.5930065682640042,0.6393073683833869,1.7513035757695132,0.6297278953948989,1.784544596079751
86,1.0,1.000009397770763,0.8578221087558525,1.0797015903321514,0.8616901797722765,1.0819482102919216,0.8616901797722765,1.0819482102919216,0.8814261268621753,1.039411728831119,0.881420184195395,1.0394059013296553,0.881420184195395,1.0394059013296553,0.8477319415542375,1.0688583579348498,0.8256435019796197,1.0766329611135872,0.5415420418276587,1.6118442250666951,0.5271926111846982,1.6326613830255883,0.49299531150790055,1.458982817021013,0.47165293865418584,1.4866359339355941
