,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat,Confounds Removed,AlexNet,AlexNet_Places365,GoogLeNet,GRCNN55,ResNet101,ResNet152,ResNet18,ResNet18_Places365,ResNet50,ResNet50_Places365,Resnext50_32x4d,Vgg16,Vgg19,0,2,5,7,10,12,14,17,19,21,24,26,28
68,ResNet152,1.0,1.0255802974076886,0.0001005867977908,4.542145381032419e-05,0.0061688233421075,1.0639951371797876,3.0232836561535348e-27,2.9545666465465544e-30,0.0047462940479153,3.807157193760232e-05,True,,,,,,,,,,,,,,,,,,,,,,,,,,
69,ResNet152,2.0,1.008324288029349,0.108785891153338,0.0703905747271289,0.0050911468142629,1.056672538367197,7.331393683538896e-42,4.43045695369873e-44,0.0029284626060806,2.782521370337869e-10,True,,,,,,,,,,,,,,,,,,,,,,,,,,
70,ResNet152,3.0,1.0083238363926583,0.1088353517183649,0.0704271722044277,0.0050915953750284,1.0566701916720185,7.358070187563415e-42,4.443773650416785e-44,0.0029284430252942,2.7899513042321604e-10,True,,,,,,,,,,,,,,,,,,,,,,,,,,
71,ResNet152,4.0,1.0083238363926583,0.1088353517183649,0.0704271722044277,0.0050915953750284,1.0566701916720185,7.358070187563415e-42,4.443773650416785e-44,0.0029284430252942,2.7899513042321604e-10,True,,,,,,,,,,,,,,,,,,,,,,,,,,
72,ResNet152,5.0,1.0250895370577804,0.0092775071266858,0.0051871296672705,0.0093195151435346,1.1442523482996032,6.850177282102085e-45,6.792119754838509e-49,0.0069813002888075,4.870461511650715e-13,True,,,,,,,,,,,,,,,,,,,,,,,,,,
73,ResNet152,6.0,1.0191775383084472,0.0231183167911197,0.0140101155141614,0.0082055875298455,1.1393419060441063,4.195430022309717e-49,1.3324864509020406e-52,0.006177514380233,3.396282579960845e-14,True,,,,,,,,,,,,,,,,,,,,,,,,,,
74,ResNet152,7.0,1.0520328737909383,0.0047372147441129,0.0037240178231833,0.0177272264709186,1.5055925900353715,2.315190893982417e-65,2.1617910090600892e-69,0.0163988389071914,3.234261017835908e-26,True,,,,,,,,,,,,,,,,,,,,,,,,,,
75,ResNet152,8.0,1.009066945697274,0.0141951108355311,0.0125897565975112,0.0035826295992993,1.0974176780447724,7.843284533058521e-55,9.5594101280298e-55,0.0038532168685236,9.481056612768983e-25,True,,,,,,,,,,,,,,,,,,,,,,,,,,
76,ResNet152,9.0,1.0027268065620585,0.0002635569200864,0.0002570014857272,0.0007055179717738,1.0181269802779789,1.2624693631565492e-67,7.62109187777612e-68,0.0005642156200062,5.644617929591447e-26,True,,,,,,,,,,,,,,,,,,,,,,,,,,
77,ResNet18,0.0,0.9999999690994368,0.996752801102302,0.9971713174796014,7.514381552473296e-06,1.0000034004483715,0.4253901258468537,0.4243776088224807,4.239378711188689e-06,0.4743247034990712,True,,,,,,,,,,,,,,,,,,,,,,,,,,
78,ResNet18,1.0,1.016708838153812,2.215628560445881e-05,1.3210964644711168e-05,0.003656069937845,1.04074492618555,1.17930351186303e-32,3.7087194449908125e-34,0.0026142163410039,1.194879645384903e-06,True,,,,,,,,,,,,,,,,,,,,,,,,,,
79,ResNet18,2.0,1.0132080911149806,0.0396046924697116,0.0237071013997103,0.0062584850868545,1.0786824745689192,4.751101252461189e-42,8.863511119957937e-45,0.0040489842527291,4.621577572909892e-11,True,,,,,,,,,,,,,,,,,,,,,,,,,,
80,ResNet18,3.0,1.0132486988200944,0.0392671136027476,0.0234957697988035,0.0062666600005231,1.0788229979696655,5.316981776283788e-42,9.816836264216477e-45,0.004060572731168,4.605482564615223e-11,True,,,,,,,,,,,,,,,,,,,,,,,,,,
81,ResNet18,4.0,1.0132486988200944,0.0392671136027476,0.0234957697988035,0.0062666600005231,1.0788229979696655,5.316981776283788e-42,9.816836264216477e-45,0.004060572731168,4.605482564615223e-11,True,,,,,,,,,,,,,,,,,,,,,,,,,,
82,ResNet18,5.0,1.0267499044149508,0.0143614709816601,0.0082787503194346,0.0105885943548167,1.1569856250906316,1.2294910416407752e-41,1.8841328465795605e-44,0.00815223011361,6.642389185655011e-14,True,,,,,,,,,,,,,,,,,,,,,,,,,,
83,ResNet18,6.0,1.0139524784248286,0.1797902258651735,0.1022190378040957,0.010229508836056,1.1429209588379377,5.359950947878295e-46,2.240799336905162e-47,0.0067569638400123,2.6550874249872784e-13,True,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ResNet18,7.0,1.028221241693511,0.0748798763378418,0.050217189403889,0.0155071066220915,1.3514035790500156,9.873078912962296e-47,5.815473066970154e-48,0.0163599181366401,2.2543651883776055e-18,True,,,,,,,,,,,,,,,,,,,,,,,,,,
