,AlexNet,AlexNet_Places365,GoogLeNet,GRCNN55,ResNet101,ResNet152,ResNet18,ResNet18_Places365,ResNet50,ResNet50_Places365,Resnext50_32x4d,Vgg16,Vgg19
20,1.936455310864576,1.2234973781444278,1.25306798108523,1.3386827971090682,1.1808314571903389,1.2898707964935865,1.2397575710663604,1.3952059857361347,1.2792862446143298,1.3185930397585284,1.1840219969526755,2.9192681205370787,2.143184279716323
21,1.0000101942001327,1.0000101942001327,1.0176570510755156,1.1917734069637804,1.002245836749565,1.0473506749289685,1.017875115760699,1.0000101942001327,1.0109171395342929,1.1532371915377562,1.0165219442318585,1.0699351258406185,1.1766468607100593
22,1.2058789354657091,1.0551176636554869,1.0228688092996527,1.0875557303305543,1.0449052771442238,1.046626440394123,1.025085139198146,1.0560481785723663,1.063764755375013,1.0500221335019717,1.0420499926139102,1.130993465358359,1.1421065324061312
23,1.2238427372107403,1.0420289846229065,1.3177344281891528,1.1324609112529278,1.0868433467189549,1.075211074558634,1.1078406904277152,1.1129612274463123,1.1531101265639756,1.103061579014213,1.1536457685296757,1.1719893816447504,1.2210279616947666
24,1.4939646389225851,1.2097830727627106,1.7243572438509776,2.028411666419702,1.2583872531704208,1.2602436528672114,1.1817297828970872,1.339513657384247,1.3638265483157437,1.2700945458409825,1.1341654906883958,1.7209924564643122,1.850764741793375
25,1.1047434563526006,1.063407839932708,1.0324046975004748,1.4001372898320652,1.0344814381005674,1.0504596640343968,1.0657845657819196,1.0614558441311093,1.0578604657390076,1.0440093108114172,1.0360352540826046,1.1094001253427097,1.1350669577874837
26,1.1505222608024954,1.026990935947813,1.0516197167073695,1.052470111430904,1.0462029019195995,1.0400923511018263,1.0202276204427756,1.025886004114285,1.035784992008832,1.1077106736131477,1.0274027185845054,1.1483567416450629,1.1514823057065091
27,1.6100210343376855,1.232763286200716,1.1574261676826334,1.511584256597226,1.048684881930708,1.0586520938677872,1.078760706649045,1.5564878096616537,1.1008943271640868,1.4522437398064256,1.0491640631534007,1.7627968429287295,1.7160073848218842
28,1.205738375811447,1.1203930056978255,1.3243769252522093,1.1682093341048243,1.0363417928727925,1.025589762978746,1.0851446242578255,1.125021905971327,1.0342064552381935,1.005667477682527,1.0229650049435788,1.21467890770016,1.0720981316085416
29,1.187282943263315,1.1881432662372615,1.080836801746112,1.0691852481033446,1.0827003365910937,1.0767028436354908,1.1167382108738255,1.275375317166549,1.108390422104959,1.130017441232012,1.0890425125414682,1.1648565051195392,1.119484785795582
30,1.5832912967138002,1.279769677883447,1.2030348108383209,1.698127188573454,1.2113825981015898,1.1322419736388838,1.1682092453228543,1.3601399664350011,1.185135532335225,1.416533926868731,1.0875165615988642,2.017716893421843,2.0328539151586296
31,1.8547913268498049,1.5434522174461776,1.173610109031776,1.3455732354466328,1.3483720705830526,1.2628535989633374,1.1718659034780778,1.4579946370361825,1.3621975376941362,1.405506638435112,1.1503141591613244,2.2040002845589397,2.1640134228196097
32,1.79662269508658,1.412497563049565,1.1271287077503205,1.5431033321828047,1.274966082316206,1.3331033615732963,1.2420560598268366,2.1876999923798905,1.388215230388412,1.993014190021276,1.2860067658754846,4.881767414059239,5.996099494957339
33,1.0000094649943658,1.0205469907182383,1.009382993500558,1.0119060132648998,1.0142708219517158,1.0285268184741292,1.03782554335219,1.0728291467646367,1.0109414361590368,1.1370937299585195,1.0013531379147254,1.0159072977898895,1.0186279895390633
34,1.2460525482265272,1.1074456841312408,1.1921311883530217,1.1274137824377417,1.10089684837116,1.2337716247491175,1.062936092411499,1.2010669517767805,1.0673389015010477,1.0683304579239952,1.1847161944310811,1.3956752254078286,1.4779878793576893
35,1.3783861581467818,1.1488284513751248,1.0728953296348671,1.338410163602602,1.0932009333994213,1.1569590690487217,1.1217319353896615,1.154728911952391,1.148851207165146,1.0895127838786105,1.0671385363643608,1.28242613591353,1.264685576214932
36,1.1508319373025495,1.0319701265400854,1.0281341843018643,1.1088681772936348,1.0509515937807754,1.0441496171848743,1.1073815759860792,1.1563517115807194,1.057740487553919,1.087351773675388,1.0625708079880938,1.321407528706199,1.2818408364220033
37,1.5306119410293686,1.2144771499698357,1.0851643653814784,1.2660690773434988,1.0782500096229135,1.1105906162183954,1.1202996622054835,1.2062523182982572,1.1632856517027883,1.3002012015557645,1.0805108750515844,1.7686935505554997,1.573768059197041
38,1.0000094649943658,1.0000094649943658,1.207475121403917,1.4980366386074464,1.066307902424875,1.049150423799608,1.049984115158358,1.0000094649943658,1.0501023359599593,1.0000094649943658,1.019472951690657,1.0000094649943658,1.0000094649943658
39,1.080458333564798,1.0202413821731275,1.1254501264204149,1.0529171044180914,1.0133523453832831,1.031832396734133,1.0219899750825183,1.0284483200400536,1.0367496201613249,1.0271568459494578,1.0236454658513312,1.0572717501786832,1.0824734758180743
40,1.35846631041871,1.2493226476258723,1.1060513654877062,1.2323596799054388,1.1161348943802505,1.059075181297179,1.077193860770596,1.4616993926003323,1.1919480286398574,1.3530450573017845,1.1120438640300558,1.4872162480403563,1.482264077484827
41,1.8358666038682177,1.5310038364885608,1.0881798250292052,1.5887387237224753,1.134395646989149,1.1329609162143586,1.0939966890048736,1.8177710570935144,1.2055536499791404,1.6676750136023917,1.090248754594142,3.0489098765071097,3.16838269495047
42,2.34396784918336,1.5095507651454376,1.1385485982454688,1.3837505557543028,1.2216118221721637,1.1501461564700477,1.169353856315796,1.5028332343099675,1.3604254371145734,1.3573436070664129,1.210107415560487,2.569400590209858,2.4181445335119416
43,1.1846742494573876,1.190782821202626,1.6414035234794988,1.2318411390674144,1.074421559451001,1.0449599341500062,1.1242439863096836,1.1676055450964895,1.1774948103109275,1.1086257305968148,1.0696964393323292,1.1772597241900948,1.1519611230339193
44,1.3367054682107478,1.0290087158165409,1.0128536353871875,1.0840639319332648,1.0235319871168302,1.006007610222092,1.0368914479381652,1.1956753113050649,1.0212660719721582,1.1602259103498076,1.007828951878198,1.3036746132730463,1.180741124555993
45,1.8859332813656569,1.5020160429076796,1.112115537403682,2.104252129945764,1.2027735431337052,1.2088647882574617,1.0957857210599329,1.5125799348032027,1.0886242858865067,1.663011557424714,1.1028868885705498,3.1569437627092927,2.6256437668727117
46,1.3610048661110212,1.2129866330768613,1.1711662055365042,1.4706082768863613,1.1312192448502485,1.1289487959733515,1.137735804714598,1.1637046821407293,1.119490745613713,1.2583787668766229,1.1040091177201676,1.5537283439833094,1.3211442553348922
47,1.0130189908052756,1.0120692512607523,1.2442748628171474,1.0135095735279118,1.0266134053254603,1.0904672376632645,1.0223064511488265,1.008871824402031,1.0313135572163097,1.0109626071816875,1.031743801501471,1.0348693284755917,1.0381618821136922
48,1.5663359345067267,1.4524205858577768,1.1655777203044513,1.3757916658227545,1.1000491763216356,1.125521915123213,1.177613734723434,1.3407694851251306,1.133776479243071,1.291248773801327,1.121196705300025,1.361809456502924,1.4058059081805956
49,1.3031154177266366,1.070064505605442,1.342574182441923,1.1042455071173705,1.053010051869674,1.0622707720635345,1.1268360502751844,1.0731235169903062,1.0778006338286752,1.0512409987547993,1.0616279237945574,1.2068798046318117,1.2074987846239202
50,1.657770924925477,1.350003591067544,1.167798690583782,1.428177326466798,1.1374207551660824,1.1323245814632974,1.1268165549275106,1.456589859433593,1.3347332922677468,1.3277909456310462,1.1260179688958727,2.1184281404123766,1.998462813799419
51,1.0092020269855468,1.0054498869401496,1.0000094649943658,1.9269344031238704,1.024385807622752,1.0313372424442442,1.015922390493632,1.1607010121222392,1.04065590424661,1.1503981347144796,1.0286457893038723,1.8573625061547057,1.533899935250781
52,1.27012208694849,1.2562750391641608,1.0900785622785212,1.8434755765148971,1.0440853794546243,1.0607030069415146,1.0616443560648443,1.494937820718586,1.118171477000505,1.4226033582644213,1.0506302651348545,1.5621913916143852,1.4473347088995645
53,2.167439697782449,1.7047426683910625,1.1308928503022295,1.5923910625235629,1.206268000828438,1.250099804777974,1.186043415005755,1.6364660432083575,1.3003643020185711,1.5018320529434144,1.227976349153825,2.88708584902052,2.4066674416846845
54,1.27865384742723,1.3108112165604435,1.159752878491923,1.4991309466336027,1.0911192524560784,1.1356635976485512,1.098666886818105,1.2857299657165344,1.131216596665935,1.1926070840166787,1.0879930312353383,1.427405554337238,1.2358798967972824
55,1.8042633918273336,1.4307744131392888,1.1309631458414773,1.4964783116106843,1.270445665005293,1.3419224248463202,1.0924324172529989,2.084878720207826,1.2969717397987828,1.846760174354014,1.2447827455144196,3.1807225078970296,2.80595548248447
56,1.6162566020420657,1.4095435418133029,1.3462611600694168,1.680943421316179,1.0948720934586889,1.106163085437172,1.113714834212578,1.449768708735691,1.1987707443560516,1.2260803728162446,1.0921101647179698,1.56731231519507,1.5105739880828233
